Date,Energy,Food,Metals,Precious_Metals,Pauran_raw,Pauran
1960-03,2.134449,21.057413,12.720559,3.268735,12.992896,13.026580
1960-04,2.134449,21.232864,12.929570,3.268735,13.125780,13.035116
1960-05,2.134449,21.087342,12.730654,3.268735,13.007896,13.042191
1960-06,2.134449,20.679259,12.751078,3.268735,12.850790,12.994822
1960-07,2.134449,20.820773,12.805475,3.268735,12.923715,12.927467
1960-08,2.134449,21.073486,12.650771,3.268735,12.978389,12.917631
1960-09,2.134449,21.305990,12.501877,3.268735,13.026722,12.976275
1960-10,2.134449,20.319184,12.324305,3.268735,12.578728,12.861280
1960-11,2.134449,19.787757,12.473067,3.268735,12.410786,12.672079
1960-12,2.134449,20.516910,12.412539,3.268735,12.684289,12.557935
1961-01,2.083332,21.095953,12.211652,3.267464,12.845290,12.646788
1961-02,2.083332,21.813519,12.287316,3.267464,13.155015,12.894865
1961-03,2.083332,22.699449,12.328203,3.267464,13.521653,13.173986
1961-04,2.083332,23.106239,12.387457,3.267464,13.702145,13.459605
1961-05,2.083332,22.843251,12.572072,3.267464,13.652335,13.625378
1961-06,2.083332,22.325191,12.476251,3.267464,13.416365,13.590282
1961-07,2.083332,22.123138,12.380651,3.267464,13.306863,13.458521
1961-08,2.083332,21.742239,12.397515,3.267464,13.159563,13.294264
1961-09,2.083332,21.392953,12.365821,3.267464,13.010340,13.158922
1961-10,2.083332,21.414527,12.337363,3.267464,13.010432,13.060112
1961-11,2.083332,21.892695,12.336642,3.276295,13.202366,13.074380
1961-12,2.083332,21.739156,12.354628,3.379722,13.156690,13.123163
1962-01,2.042914,21.418998,12.364171,3.387469,13.024180,13.127745
1962-02,2.042914,21.432295,12.340064,3.370466,13.020567,13.067146
1962-03,2.042914,21.633515,12.240243,3.361354,13.070197,13.038315
1962-04,2.042914,21.684156,12.228148,3.361354,13.086825,13.059196
1962-05,2.042914,22.066362,12.211667,3.361354,13.234763,13.130595
1962-06,2.042914,21.981565,12.186218,3.368588,13.193933,13.171840
1962-07,2.042914,21.870443,12.168603,3.380612,13.145402,13.191366
1962-08,2.042914,21.704687,12.151903,3.425233,13.078552,13.139295
1962-09,2.042914,21.937074,12.151081,3.492494,13.177986,13.133980
1962-10,2.042914,21.522570,12.166812,3.540778,13.021732,13.092757
1962-11,2.042914,22.267912,12.184920,3.527345,13.323958,13.174559
1962-12,2.042914,22.090503,12.177172,3.533921,13.251328,13.199006
1963-01,2.014641,22.756018,12.168531,3.567395,13.512634,13.362640
1963-02,2.014641,23.170125,12.179894,3.579231,13.682870,13.482277
1963-03,2.014641,23.316539,12.194511,3.593322,13.747230,13.647578
1963-04,2.014641,23.803186,12.220066,3.584545,13.948677,13.792925
1963-05,2.014641,24.913761,12.242195,3.589994,14.400090,14.031999
1963-06,2.014641,24.937250,12.253338,3.588209,14.412650,14.253806
1963-07,2.014641,24.805202,12.242160,3.600515,14.357709,14.390150
1963-08,2.014641,23.971713,12.258601,3.599459,14.029139,14.266499
1963-09,2.014641,24.138759,12.270155,3.607635,14.100242,14.162363
1963-10,2.014641,25.768493,12.429391,3.607501,14.799893,14.309758
1963-11,2.014641,25.824197,12.459583,3.612533,14.831735,14.577290
1963-12,2.014641,25.571853,12.559381,3.613613,14.760845,14.797491
1964-01,1.944375,25.885513,12.512087,3.623966,14.859103,14.817228
1964-02,1.944375,25.092184,12.742908,3.624434,14.611064,14.743671
1964-03,1.944375,24.522999,13.224045,3.624434,14.527732,14.665966
1964-04,1.944375,24.823960,13.906550,3.624434,14.852867,14.663888
1964-05,1.944375,24.582241,13.838074,3.624434,14.735637,14.705412
1964-06,1.944375,23.890059,13.801985,3.624434,14.447937,14.678814
1964-07,1.944375,23.725843,14.131487,3.624434,14.481102,14.554892
1964-08,1.944375,23.397532,14.824224,3.624434,14.557598,14.495546
1964-09,1.944375,23.675751,15.716088,3.624434,14.936445,14.658382
1964-10,1.944375,23.800461,16.748413,3.624434,15.296027,14.930023
1964-11,1.944375,23.689472,16.983137,3.624434,15.322048,15.184840
